serial_no,round_no,period,city,age,gender,occupation_of_respondent,annual_income,no_of_family_members,education_qualification,number_of_earning_members,perception_on_general_economic_condition_u_fffd_compared_to_one_year_ago,outlook_on_general_economic_condition_u_fffd_one_year_ahead,perception_on_household_circumstances_u_fffd_compared_to_one_year_ago,outlook_on_household_circumstances_u_fffd_one_year_ahead,perception_on_household_income_u_fffd_compared_to_one_year_ago,outlook_on_household_income_u_fffd_one_year_ahead,perception_on_household_spending_u_fffd_compared_to_one_year_ago,outlook_on_household_spending_u_fffd_one_year_ahead,perception_on_employment_scenario_u_fffd_compared_to_one_year_ago,outlook_on_employment_scenario_u_fffd_one_year_ahead,perception_on_general_price_levels_u_fffd_compared_to_one_year_ago,outlook_on_general_price_levels_u_fffd_one_year_ahead,perception_on_inflation_u_fffd_compared_to_one_year_ago,outlook_on_inflation_u_fffd_one_year_ahead
97,22,DEC-14,Kolkata,22-29,Female,Employed,Rs. 1 - 3 lakhs,5 and more,Below Graduate,8,Improved,Will Improve,Difficult to say,Will be better off,Decreased,Increase,Increased,Increase,Remained the same,Will Remain the Same,Gone down,Will go down,NA,NA
98,22,DEC-14,Kolkata,40-59,Female,Employed,Rs. 5 lakhs or more,3 or 4,Graduate & above,2,Worsen,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go down,Same as last year,NA
99,22,DEC-14,Kolkata,60 & above,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Worsen,Will Improve,Somewhat worse off,Will be better off,Decreased,Remain the same,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
100,22,DEC-14,Kolkata,60 & above,Male,Daily Worker,Rs. 1 lakh or less,1 or 2,Below Graduate,1,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
101,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,2,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
102,22,DEC-14,Kolkata,30-39,Female,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Worsen,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
103,22,DEC-14,Kolkata,60 & above,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will worsen,Gone up,Will remain almost unchanged,Same as last year,NA
104,22,DEC-14,Kolkata,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Remained the same,Neither increase nor decrease,Worsen,Will Remain the Same,Gone down,Will go down,NA,NA
105,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 5 lakhs or more,5 and more,Up to primary,3,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go down,Less than last year,NA
106,22,DEC-14,Kolkata,60 & above,Female,Employed,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
107,22,DEC-14,Kolkata,60 & above,Female,Employed,Rs. 1 lakh or less,3 or 4,Graduate & above,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Increased,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone down,Will go down,NA,NA
108,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will go up,Same as last year,Same as current year
109,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone down,Will go down,NA,NA
110,22,DEC-14,Kolkata,40-59,Female,Self employed/Business,Rs. 1 lakh or less,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,Less than last year,Same as current year
111,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Graduate & above,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Decrease,Increased,Decrease,Worsen,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
112,22,DEC-14,Kolkata,40-59,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Improve,Somewhat worse off,Will be better off,Decreased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
113,22,DEC-14,Kolkata,60 & above,Male,Retired/Pensioner,Rs. 1 lakh or less,5 and more,Up to primary,3,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Remained almost unchanged,Will go up,NA,More than current year
114,22,DEC-14,Kolkata,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Worsen,Will Worsen,Difficult to say,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
115,22,DEC-14,Kolkata,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Remained the same,Will Worsen,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
116,22,DEC-14,Kolkata,60 & above,Male,Unemployed,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Worsen,Difficult to say,Will be worsen,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
117,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
118,22,DEC-14,Kolkata,30-39,Male,Unemployed,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Worsen,Will Worsen,Somewhat worse off,Will be better off,Decreased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
119,22,DEC-14,Kolkata,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
120,22,DEC-14,Kolkata,60 & above,Male,Retired/Pensioner,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Remain the same,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
121,22,DEC-14,Kolkata,22-29,Male,Employed,Rs. 1 lakh or less,5 and more,Below Graduate,3,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Worsen,Will worsen,Remained almost unchanged,Will go up,NA,More than current year
122,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,2,Remained the same,Will Worsen,Difficult to say,Will be worsen,Remained the same,Remain the same,Increased,Neither increase nor decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
123,22,DEC-14,Kolkata,22-29,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Graduate & above,2,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Increased,Remain the same,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
124,22,DEC-14,Delhi,40-59,Female,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,6,Worsen,Will Improve,Somewhat worse off,Will be worsen,Increased,Remain the same,Increased,Increase,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
125,22,DEC-14,Delhi,40-59,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go down,Same as last year,NA
126,22,DEC-14,Delhi,22-29,Female,House wife,Rs. 1 lakh or less,5 and more,Below Graduate,3,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Decreased,Increase,Remained the same,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
127,22,DEC-14,Delhi,30-39,Female,Self employed/Business,Rs. 1 lakh or less,5 and more,Up to primary,5,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Increased,Decrease,Remained the same,Will worsen,Gone up,Will go up,More than last year,More than current year
128,22,DEC-14,Delhi,22-29,Female,Retired/Pensioner,Rs. 1 lakh or less,3 or 4,Up to primary,2,Improved,Will Improve,Somewhat worse off,Will be better off,Decreased,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
129,22,DEC-14,Delhi,30-39,Male,Employed,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Decreased,Decrease,Remained the same,Will improve,Gone up,Will go up,Less than last year,More than current year
130,22,DEC-14,Delhi,30-39,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Decreased,Decrease,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
131,22,DEC-14,Delhi,22-29,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Up to primary,3,Worsen,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,Same as last year,More than current year
132,22,DEC-14,Delhi,40-59,Female,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,3,Improved,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Remained the same,Will improve,Remained almost unchanged,Will go down,NA,NA
133,22,DEC-14,Delhi,22-29,Female,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Below Graduate,3,Worsen,Will Worsen,Difficult to say,Will be worsen,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
134,22,DEC-14,Delhi,40-59,Male,Self employed/Business,Rs. 1 lakh or less,1 or 2,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
135,22,DEC-14,Delhi,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Worsen,Difficult to say,Will be worsen,Remained the same,Decrease,Increased,Decrease,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
136,22,DEC-14,Delhi,40-59,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Up to primary,1,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Decreased,Decrease,Worsen,Will improve,Remained almost unchanged,Will go up,NA,More than current year
137,22,DEC-14,Delhi,22-29,Male,Employed,Rs. 1 lakh or less,5 and more,Up to primary,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Decreased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
138,22,DEC-14,Delhi,22-29,Male,Unemployed,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Improved,Will Improve,Difficult to say,Will be better off,Decreased,Increase,Decreased,Decrease,Remained the same,Will improve,Gone up,Will go down,Less than last year,NA
139,22,DEC-14,Delhi,40-59,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Below Graduate,4,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will remain almost unchanged,Less than last year,NA
140,22,DEC-14,Delhi,40-59,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Remain the Same,Difficult to say,Will be better off,Decreased,Remain the same,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
141,22,DEC-14,Delhi,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,1 or 2,Below Graduate,1,Remained the same,Will Improve,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
142,22,DEC-14,Delhi,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Graduate & above,1,Worsen,Will Remain the Same,Somewhat worse off,Will be better off,Remained the same,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
143,22,DEC-14,Delhi,30-39,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Decreased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
144,22,DEC-14,Delhi,22-29,Male,Unemployed,Rs. 1 lakh or less,5 and more,Below Graduate,2,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Remained the same,Decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,Same as current year
145,22,DEC-14,Delhi,22-29,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Worsen,Will Improve,Somewhat worse off,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go down,More than last year,NA
146,22,DEC-14,Delhi,60 & above,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Decreased,Neither increase nor decrease,Remained the same,Will improve,Remained almost unchanged,Will remain almost unchanged,NA,NA
147,22,DEC-14,Delhi,30-39,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Below Graduate,1,Remained the same,Will Worsen,Difficult to say,Will be worsen,Decreased,Decrease,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
148,22,DEC-14,Delhi,22-29,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go down,Less than last year,NA
149,22,DEC-14,Delhi,40-59,Male,Retired/Pensioner,Rs. 1 - 3 lakhs,5 and more,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Decrease,Remained the same,Will improve,Gone down,Will go down,NA,NA
150,22,DEC-14,Delhi,22-29,Male,Unemployed,Rs. 1 lakh or less,3 or 4,Graduate & above,1,Improved,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Increase,Improved,Will improve,Gone down,Will remain almost unchanged,NA,NA
151,22,DEC-14,Delhi,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Below Graduate,1,Remained the same,Will Worsen,Somewhat worse off,Will be worsen,Increased,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will worsen,Gone up,Will go up,More than last year,More than current year
